timestamp,location,corridor_width_m,entry_flow_rate_pax_per_min,exit_flow_rate_pax_per_min,transport_arrival_burst,vehicle_count,queue_density_pax_per_m2
18-04-2026 16:35:58,Somnath,2,20.0,12.0,0,3,0.26
18-04-2026 16:36:29,Somnath,2,20.0,16.0,0,4,0.23
18-04-2026 16:36:59,Somnath,2,20.0,16.0,1,10,0.22
18-04-2026 16:37:29,Somnath,2,20.0,24.0,1,10,0.23
18-04-2026 16:37:59,Somnath,2,22.0,20.0,0,3,0.24
18-04-2026 16:38:29,Somnath,2,20.0,16.0,1,7,0.23
18-04-2026 16:38:59,Somnath,2,20.0,16.0,0,3,0.24
18-04-2026 16:39:29,Somnath,2,22.0,20.0,1,10,0.24
18-04-2026 16:39:59,Somnath,2,18.0,16.0,0,5,0.23
18-04-2026 16:40:29,Somnath,2,20.0,18.0,1,8,0.23
18-04-2026 16:40:59,Somnath,2,18.0,14.0,0,5,0.23
18-04-2026 16:41:29,Somnath,2,20.0,12.0,0,3,0.25
18-04-2026 16:41:59,Somnath,2,18.0,14.0,1,10,0.24
18-04-2026 16:42:29,Somnath,2,6.0,12.0,0,5,0.2
18-04-2026 16:42:59,Somnath,2,16.0,8.0,1,7,0.26
18-04-2026 16:43:29,Somnath,2,4.0,10.0,0,3,0.22
18-04-2026 16:44:00,Somnath,2,12.0,6.0,0,4,0.27
18-04-2026 16:44:30,Somnath,2,4.0,10.0,0,4,0.16
18-04-2026 16:45:00,Somnath,2,14.0,8.0,1,10,0.27
18-04-2026 16:45:30,Somnath,2,6.0,6.0,0,5,0.2
18-04-2026 16:46:00,Somnath,2,18.0,10.0,0,6,0.26
18-04-2026 16:46:30,Somnath,2,18.0,16.0,1,7,0.24
